id,metro_region,lat,long
AR/VLV,Gobernador Crespo,-30.383333206176758,-60.41666793823242
AR/GRC,Gobernador Roca,-27.183332443237305,-55.46666717529297
AR/GCR,Godoy Cruz,-32.93333435058594,-68.83333587646484
AR/GOC,González Catán,-34.766666412353516,-58.61666488647461
AR/GOD,Gowland,-34.66666793823242,-59.349998474121094
AR/GRB,Granadero Baigorria,-32.849998474121094,-60.70000076293945
AR/GBG,Grand Bourg,-34.483333587646484,-58.71666717529297
AR/GUY,Gualeguay,-33.150001525878906,-59.33333206176758
AR/GHU,Gualeguaychú,-33.016666412353516,-58.516666412353516
AR/GYM,Guaymallén,-32.900001525878906,-68.78333282470703
AR/GUM,Güemes,-27.316667556762695,-65.33333587646484
AR/GUR,Guerrico,-33.66666793823242,-60.400001525878906
AR/HAE,Haedo,-34.63333511352539,-58.58333206176758
AR/HER,Hernando,-32.41666793823242,-63.733333587646484
AR/HVB,Herrera Vegas,-36.08333206176758,-61.41666793823242
AR/HIC,Hickmann,-23.200000762939453,-63.56666564941406
AR/HUG,Hughes,-33.79999923706055,-61.33333206176758
AR/HUM,Humboldt,-31.41666603088379,-61.08333206176758
AR/HUR,Hurlingham,-34.599998474121094,-58.63333511352539
AR/IBY,Ibicuy,-33.733333587646484,-59.16666793823242
AR/IGR,Iguazú,-25.566667556762695,-54.56666564941406
AR/IAL,Ingeniero Allan,-35.849998474121094,-58.20000076293945
AR/BUI,Ingeniero Buitrago,-33.349998474121094,-60.13333511352539
AR/IGI,Ingeniero Giagnoni,-33.11666488647461,-68.41666412353516
AR/JJL,Ingeniero J. Allan,-34.88333511352539,-58.18333435058594
AR/ILH,Ingeniero Luis A. Huergo,-39.08333206176758,-67.23332977294922
AR/IMZ,Ingeniero Maschwitz,-34.36666488647461,-58.733333587646484
AR/INW,Ingeniero White/Bahia Blanca,-38.78333282470703,-62.266666412353516
AR/ICA,Ireneo Portela,-33.96666717529297,-59.66666793823242
AR/ICV,Isidro Casanova,-34.71666717529297,-58.56666564941406
AR/ITZ,Ituzaingo,-34.66666793823242,-58.66666793823242
AR/WNL,Jauregui,-34.599998474121094,-59.16666793823242
AR/JPZ,José C. Paz,-34.5,-58.75
AR/JSM,José de San Martín,-44.03333282470703,-70.48332977294922
AR/JUA,Juárez Celman,-31.266666412353516,-64.16666412353516
AR/NIN,Junin,-33.150001525878906,-68.48332977294922
AR/JNI,Junín,-34.58333206176758,-60.96666717529297
AR/JUN,Junín de Los Andes,-39.93333435058594,-71.08333587646484
AR/JPX,Justiniano Posse,-32.88333511352539,-62.66666793823242
AR/LCR,La Calera,-31.33333396911621,-64.33333587646484
AR/LCT,La Carlota,-33.43333435058594,-63.29999923706055
