AO,DGR,Dombe Grande,Dombe Grande,
AO,DUE,Dundo,Dundo,
AO,ETN,Essungo Terminal,Essungo Terminal,0620S 01210E
AO,FBY,Farta Bay,Farta Bay,1237S 01312E
AO,FLT,Futila Terminal,Futila Terminal,0527S 01211E
AO,GIM,Gimboa,Gimboa,0732S 01210E
AO,GIR,Girassol Terminal,Girassol Terminal,0738S 01141E
AO,GPO,Greater Plutonio,Greater Plutonio,0750S 01207E
AO,NOV,Huambo,Huambo,
AO,JMB,Jamba,Jamba,
AO,KTI,Kiame Terminal,Kiame Terminal,
AO,SVP,Kuito,Kuito,
AO,KOT,Kuito Terminal,Kuito Terminal,0526S 01129E
AO,LAA,Landana (Cacongo),Landana (Cacongo),
AO,LIE,Lieura,Lieura,
AO,LOB,Lobito,Lobito,
AO,LBT,Lombo Terminal,Lombo Terminal,0659S 01221E
AO,LAD,Luanda,Luanda,
AO,UAL,Luau,Luau,
AO,SDD,Lubango,Lubango,
AO,LUC,Lucira,Lucira,
AO,LUO,Luena,Luena,
AO,LBZ,Lukapa,Lukapa,
AO,GGC,Lumbala,Lumbala,
AO,LZM,Luzamba,Luzamba,
AO,MEG,Malange,Malange,
AO,MLO,Malembo,Malembo,
AO,MAL,Malongo,Malongo,
AO,MDZ,Maquela Do Zombo,Maquela Do Zombo,0604S 01506E
AO,MTL,Matala,Matala,1444S 01502E
AO,SSY,M'banza Congo,M'banza Congo,
AO,SPP,Menongue,Menongue,
AO,MOS,Mocamedes,Mocamedes,1510S 01209E
AO,MSZ,Namibe,Namibe,
AO,NDF,N'dalatando,N'dalatando,0918S 01455E
AO,GXG,Negage,Negage,
AO,NQI,Nóqui,Noqui,0551S 01326E
AO,,Novo Redondo = Sumbe,Novo Redondo = Sumbe,
AO,NRQ,N'Riquinha,N'Riquinha,
AO,NZA,Nzagi,Nzagi,
AO,ARZ,N'Zeto,N'Zeto,
AO,NTO,N'Zeto (Ambrizete),N'Zeto (Ambrizete),0716S 01251E
AO,NGV,Ondjiva,Ondjiva,1704S 01544E
AO,VPE,Ongiva,Ongiva,
AO,PAT,Palanca Terminal,Palanca Terminal,
AO,PAZ,Pazflor FPSO,Pazflor FPSO,0821S 01206E
AO,PLE,Porto Alexandre (Tombua),Porto Alexandre (Tombua),
AO,PBN,Porto Amboim,Porto Amboim,
AO,PSA,Porto Saco (Portosalazar),Porto Saco (Portosalazar),1508S 01208E
AO,RSN,River Sao Nicolau,River Sao Nicolau,1415S 01220E
AO,,San Antonio do Zaire = Soyo,San Antonio do Zaire = Soyo,
AO,STC,Santa Clara,Santa Clara,0722S 01444E
AO,VHC,Saurimo,Saurimo,
AO,SBT,Saxi Batuque FPSO,Saxi Batuque FPSO,0619S 01113E
AO,STL,Sazaire Terminal,Sazaire Terminal,0605S 01223E
AO,SZA,Soyo,Soyo,
AO,SOQ,Soyo-Quinfuquena Terminal,Soyo-Quinfuquena Terminal,
AO,NDD,Sumbe,Sumbe,
AO,TAK,Takula Terminal,Takula Terminal,
AO,UGO,Uíge,Uige,0737S 01503E
AO,VNA,Viana,Viana,0854S 01322E
AO,CEO,Waku Kungo,Waku Kungo,1121S 01507E
AO,XGN,Xangongo,Xangongo,
AQ,,.ANTARCTICA,,
AQ,ABA,Aboa,Aboa,7303S 01325W
AQ,AMS,Amundsen-Scott,Amundsen-Scott,8959S 13916E
AQ,ARC,Arctowski,Arctowski,6209S 05828W
AQ,ART,Artigas,Artigas,6211S 05854W
AQ,APT,Arturo Prat,Arturo Prat,6230S 05941W
AQ,BEL,Belgrano II,Belgrano II,7752S 03437W
AQ,BHN,Bellingshausen,Bellingshausen,6211S 05857W
AQ,CAS,Casey Station,Casey Station,6617S 11031E
AQ,CFZ,Comandante Ferraz,Comandante Ferraz,6205S 05823W
AQ,CON,Concordia,Concordia,7506S 12323E
AQ,DAV,Davis Station,Davis Station,6834S 07758E
AQ,DMF,Dome Fuji,Dome Fuji,7719S 03942E
AQ,DRZ,Druzhnaya 4,Druzhnaya 4,6944S 07342E
AQ,DDU,Dumont d'Urville Station,Dumont d'Urville Station,6639S 14000E
AQ,ESC,Escudero,Escudero,6212S 05857W
AQ,ESP,Esperanza,Esperanza,6323S 05659W
AQ,GDC,Gabriel de Castilla,Gabriel de Castilla,6259S 06041W
